date,county,count_new,count_total,death_new,death_total
2020-03-18,Santa Clara,151,151,6,6
2020-03-19,Santa Clara,32,183,2,8
2020-03-20,Santa Clara,63,246,0,8
2020-03-21,Santa Clara,23,269,2,10
2020-03-22,Santa Clara,15,284,3,13
2020-03-23,Santa Clara,52,336,0,13
2020-03-24,Santa Clara,53,389,4,17
2020-03-25,Santa Clara,63,452,3,20
2020-03-26,Santa Clara,35,487,0,20
2020-03-27,Santa Clara,70,557,5,25
2020-03-28,Santa Clara,30,587,2,27
2020-03-29,Santa Clara,4,591,3,30
2020-03-30,Santa Clara,154,745,1,31
2020-03-31,Santa Clara,32,777,-1,30
2020-04-01,Santa Clara,28,805,3,33
2020-04-02,Santa Clara,103,908,5,38
2020-04-03,Santa Clara,75,983,1,39
2020-04-04,Santa Clara,62,1045,0,39
2020-04-05,Santa Clara,7,1052,3,42
2020-04-06,Santa Clara,76,1128,1,43
2020-04-07,Santa Clara,65,1193,3,46
2020-04-08,Santa Clara,64,1257,1,47
2020-04-09,Santa Clara,44,1301,2,49
2020-04-10,Santa Clara,50,1351,3,52
2020-04-11,Santa Clara,90,1441,0,52
2020-04-12,Santa Clara,20,1461,1,53
2020-04-13,Santa Clara,81,1542,7,60
2020-04-14,Santa Clara,19,1561,6,66
2020-04-15,Santa Clara,131,1692,0,66
2020-04-16,Santa Clara,97,1789,3,69
2020-04-17,Santa Clara,45,1834,4,73
2020-04-18,Santa Clara,28,1862,0,73
2020-04-19,Santa Clara,16,1878,6,79
2020-04-20,Santa Clara,42,1920,4,83
2020-04-21,Santa Clara,23,1943,5,88
2020-04-22,Santa Clara,26,1969,6,94
2020-04-23,Santa Clara,27,1996,1,95
2020-04-24,Santa Clara,30,2026,3,98
2020-04-25,Santa Clara,19,2045,1,99
2020-04-26,Santa Clara,52,2097,3,102
2020-04-27,Santa Clara,7,2104,3,105
2020-04-28,Santa Clara,26,2130,1,106
2020-04-29,Santa Clara,17,2147,2,108
2020-04-30,Santa Clara,25,2172,3,111
2020-05-01,Santa Clara,4,2176,2,113
2020-05-02,Santa Clara,27,2203,2,115
2020-05-03,Santa Clara,32,2235,1,116
2020-05-04,Santa Clara,3,2238,3,119
2020-05-05,Santa Clara,11,2249,4,123
2020-05-06,Santa Clara,21,2270,3,126
2020-05-07,Santa Clara,11,2281,1,127
2020-05-08,Santa Clara,4,2285,3,130
2020-05-09,Santa Clara,32,2317,0,130
2020-05-10,Santa Clara,14,2331,0,130
2020-05-11,Santa Clara,9,2340,3,133
2020-05-12,Santa Clara,22,2362,0,133
2020-05-13,Santa Clara,8,2370,2,135
2020-05-14,Santa Clara,10,2380,0,135
2020-05-15,Santa Clara,15,2395,1,136
2020-05-16,Santa Clara,25,2420,0,136
2020-05-17,Santa Clara,33,2453,0,136
2020-05-18,Santa Clara,15,2468,0,136
2020-05-19,Santa Clara,12,2480,3,139
2020-05-20,Santa Clara,28,2508,0,139
2020-05-21,Santa Clara,12,2520,0,139
2020-05-22,Santa Clara,17,2537,0,139
2020-05-23,Santa Clara,56,2593,0,139
2020-05-24,Santa Clara,30,2623,0,139
2020-05-25,Santa Clara,24,2647,1,140
2020-05-26,Santa Clara,12,2659,0,140
2020-05-27,Santa Clara,21,2680,1,141
2020-05-28,Santa Clara,18,2698,0,141
2020-05-29,Santa Clara,9,2707,0,141
2020-05-30,Santa Clara,34,2741,0,141
2020-05-31,Santa Clara,44,2785,3,144
2020-06-01,Santa Clara,12,2797,0,144
2020-06-02,Santa Clara,22,2819,0,144
2020-06-03,Santa Clara,17,2836,0,144
2020-06-04,Santa Clara,35,2871,0,144
2020-06-05,Santa Clara,31,2902,0,144
2020-06-06,Santa Clara,32,2934,0,144
2020-06-07,Santa Clara,13,2947,0,144
2020-06-08,Santa Clara,24,2971,5,149
2020-06-09,Santa Clara,35,3006,0,149
2020-06-10,Santa Clara,26,3032,0,149
2020-06-11,Santa Clara,17,3049,0,149
2020-06-12,Santa Clara,50,3099,1,150
2020-06-13,Santa Clara,42,3141,0,150
2020-06-14,Santa Clara,37,3178,1,151
2020-06-15,Santa Clara,26,3204,1,152
2020-06-16,Santa Clara,24,3228,0,152
2020-06-17,Santa Clara,36,3264,0,152
2020-06-18,Santa Clara,74,3338,0,152
2020-06-19,Santa Clara,38,3376,0,152
2020-06-20,Santa Clara,59,3435,2,154
2020-06-21,Santa Clara,79,3514,0,154
2020-06-22,Santa Clara,66,3580,0,154
2020-06-23,Santa Clara,120,3700,1,155
2020-06-24,Santa Clara,112,3812,0,155
2020-06-25,Santa Clara,71,3883,0,155
2020-06-26,Santa Clara,102,3985,0,155
2020-06-27,Santa Clara,58,4043,0,155
2020-06-28,Santa Clara,150,4193,0,155
2020-06-29,Santa Clara,179,4372,1,156
2020-06-30,Santa Clara,104,4476,1,157
2020-07-01,Santa Clara,69,4545,1,158
2020-07-02,Santa Clara,177,4722,1,159
2020-07-03,Santa Clara,98,4820,1,160
2020-07-04,Santa Clara,225,5045,0,160
2020-07-05,Santa Clara,192,5237,1,161
2020-07-06,Santa Clara,132,5369,3,164
2020-07-07,Santa Clara,69,5438,1,165
2020-07-08,Santa Clara,72,5510,0,165
2020-07-09,Santa Clara,128,5638,1,166
2020-07-10,Santa Clara,181,5819,0,166
2020-07-11,Santa Clara,140,5959,0,166
2020-07-12,Santa Clara,293,6252,0,166
2020-07-13,Santa Clara,236,6488,1,167
2020-07-14,Santa Clara,198,6686,3,170
2020-07-15,Santa Clara,214,6900,3,173
2020-07-16,Santa Clara,90,6990,3,176
2020-07-17,Santa Clara,90,7080,1,177
2020-07-18,Santa Clara,175,7255,0,177
2020-07-19,Santa Clara,148,7403,0,177
2020-07-20,Santa Clara,308,7711,1,178
2020-07-21,Santa Clara,278,7989,0,178
2020-07-22,Santa Clara,277,8266,2,180
2020-07-23,Santa Clara,192,8458,1,181
2020-07-24,Santa Clara,200,8658,2,183
2020-07-25,Santa Clara,109,8767,1,184
2020-07-26,Santa Clara,219,8986,0,184
2020-07-27,Santa Clara,171,9157,0,184
2020-07-28,Santa Clara,150,9307,1,185
2020-07-29,Santa Clara,260,9567,2,187
2020-07-30,Santa Clara,141,9708,3,190
2020-07-31,Santa Clara,155,9863,1,191
2020-08-01,Santa Clara,418,10281,0,191
2020-08-02,Santa Clara,296,10577,0,191
2020-08-03,Santa Clara,170,10747,0,191
2020-08-04,Santa Clara,239,10986,1,192
2020-08-05,Santa Clara,88,11074,4,196
2020-08-06,Santa Clara,206,11280,0,196
2020-08-07,Santa Clara,129,11409,7,203
2020-08-08,Santa Clara,206,11615,1,204
2020-08-09,Santa Clara,263,11878,1,205
2020-08-10,Santa Clara,737,12615,0,205
2020-08-11,Santa Clara,305,12920,2,207
2020-08-12,Santa Clara,82,13002,0,207
2020-08-13,Santa Clara,255,13257,1,208
2020-08-14,Santa Clara,528,13785,0,208
2020-08-15,Santa Clara,320,14105,1,209
2020-08-16,Santa Clara,224,14329,0,209
2020-08-17,Santa Clara,217,14546,0,209
2020-08-18,Santa Clara,240,14786,4,213
2020-08-19,Santa Clara,208,14994,3,216
2020-08-20,Santa Clara,168,15162,1,217
2020-08-21,Santa Clara,237,15399,5,222
2020-08-22,Santa Clara,191,15590,2,224
2020-08-23,Santa Clara,322,15912,0,224
2020-08-24,Santa Clara,137,16049,0,224
2020-08-25,Santa Clara,150,16199,9,233
2020-08-26,Santa Clara,84,16283,4,237
2020-08-27,Santa Clara,212,16495,3,240
2020-08-28,Santa Clara,201,16696,5,245
2020-08-29,Santa Clara,202,16898,-1,244
2020-08-30,Santa Clara,147,17045,0,244
2020-08-31,Santa Clara,166,17211,0,244
2020-09-01,Santa Clara,108,17319,4,248
2020-09-02,Santa Clara,354,17673,2,250
2020-09-03,Santa Clara,206,17879,3,253
2020-09-04,Santa Clara,195,18074,1,254
2020-09-05,Santa Clara,237,18311,3,257
2020-09-06,Santa Clara,184,18495,3,260
2020-09-07,Santa Clara,101,18596,0,260
2020-09-08,Santa Clara,49,18645,0,260
2020-09-09,Santa Clara,114,18759,3,263
2020-09-10,Santa Clara,111,18870,0,263
2020-09-11,Santa Clara,195,19065,13,276
2020-09-12,Santa Clara,265,19330,4,280
2020-09-13,Santa Clara,126,19456,3,283
2020-09-14,Santa Clara,89,19545,0,283
2020-09-15,Santa Clara,65,19610,4,287
2020-09-16,Santa Clara,74,19684,6,293
2020-09-17,Santa Clara,141,19825,2,295
2020-09-18,Santa Clara,233,20058,0,295
2020-09-19,Santa Clara,112,20170,1,296
2020-09-20,Santa Clara,160,20330,0,296
2020-09-21,Santa Clara,102,20432,1,297
2020-09-22,Santa Clara,82,20514,2,299
2020-09-23,Santa Clara,61,20575,1,300
2020-09-24,Santa Clara,114,20689,4,304
2020-09-25,Santa Clara,123,20812,2,306
2020-09-26,Santa Clara,155,20967,5,311
2020-09-27,Santa Clara,124,21091,1,312
2020-09-28,Santa Clara,89,21180,2,314
2020-09-29,Santa Clara,53,21233,4,318
2020-09-30,Santa Clara,85,21318,4,322
2020-10-01,Santa Clara,80,21398,3,325
2020-10-02,Santa Clara,147,21545,5,330
2020-10-03,Santa Clara,127,21672,3,333
2020-10-04,Santa Clara,108,21780,11,344
2020-10-05,Santa Clara,81,21861,1,345
2020-10-06,Santa Clara,53,21914,2,347
2020-10-07,Santa Clara,79,21993,6,353
2020-10-08,Santa Clara,102,22095,1,354
2020-10-09,Santa Clara,156,22251,3,357
2020-10-10,Santa Clara,103,22354,0,357
2020-10-11,Santa Clara,133,22487,0,357
2020-10-12,Santa Clara,91,22578,5,362
2020-10-13,Santa Clara,100,22678,1,363
2020-10-14,Santa Clara,57,22735,0,363
2020-10-15,Santa Clara,73,22808,4,367
2020-10-16,Santa Clara,112,22920,6,373
2020-10-17,Santa Clara,77,22997,0,373
2020-10-18,Santa Clara,172,23169,0,373
2020-10-19,Santa Clara,132,23301,5,378
2020-10-20,Santa Clara,105,23406,4,382
2020-10-21,Santa Clara,131,23537,3,385
2020-10-22,Santa Clara,84,23621,0,385
2020-10-23,Santa Clara,201,23822,3,388
2020-10-24,Santa Clara,156,23978,0,388
2020-10-25,Santa Clara,109,24087,0,388
2020-10-26,Santa Clara,171,24258,0,388
2020-10-27,Santa Clara,110,24368,4,392
2020-10-28,Santa Clara,135,24503,10,402
2020-10-29,Santa Clara,111,24614,2,404
2020-10-30,Santa Clara,197,24811,2,406
2020-10-31,Santa Clara,146,24957,0,406
2020-11-01,Santa Clara,133,25090,0,406
2020-11-02,Santa Clara,132,25222,0,406
2020-11-03,Santa Clara,164,25386,6,412
2020-11-04,Santa Clara,101,25487,9,421
2020-11-05,Santa Clara,164,25651,3,424
2020-11-06,Santa Clara,180,25831,6,430
2020-11-07,Santa Clara,256,26087,0,430
2020-11-08,Santa Clara,355,26442,0,430
2020-11-09,Santa Clara,251,26693,3,433
2020-11-10,Santa Clara,224,26917,3,436
2020-11-11,Santa Clara,158,27075,4,440
2020-11-12,Santa Clara,186,27261,0,440
2020-11-13,Santa Clara,348,27609,4,444
2020-11-14,Santa Clara,353,27962,0,444
2020-11-15,Santa Clara,327,28289,0,444
2020-11-16,Santa Clara,384,28673,1,445
2020-11-17,Santa Clara,340,29013,2,447
2020-11-18,Santa Clara,272,29285,6,453
2020-11-19,Santa Clara,345,29630,6,459
2020-11-20,Santa Clara,372,30002,4,463
2020-11-21,Santa Clara,375,30377,0,463
2020-11-22,Santa Clara,256,30633,0,463
2020-11-23,Santa Clara,431,31064,1,464
2020-11-24,Santa Clara,500,31564,3,467
2020-11-25,Santa Clara,468,32032,3,470
2020-11-26,Santa Clara,379,32411,6,476
2020-11-27,Santa Clara,524,32935,0,476
2020-11-28,Santa Clara,766,33701,0,476
2020-11-29,Santa Clara,533,34234,0,476
2020-11-30,Santa Clara,785,35019,0,476
2020-12-01,Santa Clara,378,35397,6,482
2020-12-02,Santa Clara,481,35878,4,486
2020-12-03,Santa Clara,743,36621,9,495
2020-12-04,Santa Clara,844,37465,8,503
2020-12-05,Santa Clara,874,38339,0,503
2020-12-06,Santa Clara,773,39112,0,503
2020-12-07,Santa Clara,1509,40621,8,511
2020-12-08,Santa Clara,688,41309,1,512
2020-12-09,Santa Clara,1603,42912,3,515
2020-12-10,Santa Clara,1027,43939,4,519
2020-12-11,Santa Clara,1162,45101,7,526
2020-12-12,Santa Clara,791,45892,0,526
2020-12-13,Santa Clara,2028,47920,0,526
2020-12-14,Santa Clara,1260,49180,3,529
2020-12-15,Santa Clara,1131,50311,24,553
2020-12-16,Santa Clara,1191,51502,8,561
2020-12-17,Santa Clara,1057,52559,5,566
2020-12-18,Santa Clara,1433,53992,17,583
2020-12-19,Santa Clara,1548,55540,0,583
2020-12-20,Santa Clara,1320,56860,0,583
2020-12-21,Santa Clara,839,57699,24,607
2020-12-22,Santa Clara,1493,59192,8,615
2020-03-18,San Mateo,57,57,1,1
2020-03-19,San Mateo,1,58,0,1
2020-03-20,San Mateo,13,71,0,1
2020-03-21,San Mateo,7,78,0,1
2020-03-22,San Mateo,4,82,0,1
2020-03-23,San Mateo,6,88,0,1
2020-03-24,San Mateo,12,100,1,2
2020-03-25,San Mateo,11,111,3,5
2020-03-26,San Mateo,11,122,0,5
2020-03-27,San Mateo,91,213,2,7
2020-03-28,San Mateo,18,231,2,9
2020-03-29,San Mateo,3,234,3,12
2020-03-30,San Mateo,23,257,-1,11
2020-03-31,San Mateo,40,297,1,12
2020-04-01,San Mateo,57,354,1,13
2020-04-02,San Mateo,69,423,0,13
2020-04-03,San Mateo,51,474,0,13
2020-04-04,San Mateo,46,520,4,17
2020-04-05,San Mateo,8,528,2,19
2020-04-06,San Mateo,41,569,1,20
2020-04-07,San Mateo,4,573,2,22
2020-04-08,San Mateo,35,608,0,22
2020-04-09,San Mateo,22,630,1,23
2020-04-10,San Mateo,12,642,-2,21
2020-04-11,San Mateo,20,662,4,25
2020-04-12,San Mateo,2,664,0,25
2020-04-13,San Mateo,15,679,0,25
2020-04-14,San Mateo,2,681,0,25
2020-04-15,San Mateo,26,707,0,25
2020-04-16,San Mateo,38,745,0,25
2020-04-17,San Mateo,23,768,3,28
2020-04-18,San Mateo,53,821,0,28
2020-04-19,San Mateo,24,845,3,31
2020-04-20,San Mateo,45,890,0,31
2020-04-21,San Mateo,43,933,0,31
2020-04-22,San Mateo,12,945,8,39
2020-04-23,San Mateo,25,970,0,39
2020-04-24,San Mateo,34,1004,4,43
2020-04-25,San Mateo,50,1054,0,43
2020-04-26,San Mateo,16,1070,3,46
2020-04-27,San Mateo,22,1092,0,46
2020-04-28,San Mateo,37,1129,2,48
2020-04-29,San Mateo,41,1170,2,50
2020-04-30,San Mateo,24,1194,2,52
2020-05-01,San Mateo,28,1222,0,52
2020-05-02,San Mateo,50,1272,0,52
2020-05-03,San Mateo,5,1277,1,53
2020-05-04,San Mateo,36,1313,0,53
2020-05-05,San Mateo,22,1335,3,56
2020-05-06,San Mateo,13,1348,0,56
2020-05-07,San Mateo,50,1398,1,57
2020-05-08,San Mateo,25,1423,5,62
2020-05-09,San Mateo,30,1453,3,65
2020-05-10,San Mateo,10,1463,0,65
2020-05-11,San Mateo,36,1499,0,65
2020-05-12,San Mateo,34,1533,1,66
2020-05-13,San Mateo,17,1550,0,66
2020-05-14,San Mateo,38,1588,0,66
2020-05-15,San Mateo,24,1612,1,67
2020-05-16,San Mateo,40,1652,1,68
2020-05-17,San Mateo,28,1680,0,68
2020-05-18,San Mateo,21,1701,0,68
2020-05-19,San Mateo,3,1704,7,75
2020-05-20,San Mateo,35,1739,0,75
2020-05-21,San Mateo,52,1791,0,75
2020-05-22,San Mateo,56,1847,1,76
2020-05-23,San Mateo,15,1862,0,76
2020-05-24,San Mateo,63,1925,0,76
2020-05-25,San Mateo,13,1938,0,76
2020-05-26,San Mateo,29,1967,6,82
2020-05-27,San Mateo,78,2045,0,82
2020-05-28,San Mateo,25,2070,0,82
2020-05-29,San Mateo,33,2103,2,84
2020-05-30,San Mateo,26,2129,0,84
2020-05-31,San Mateo,40,2169,0,84
2020-06-01,San Mateo,21,2190,0,84
2020-06-02,San Mateo,13,2203,0,84
2020-06-03,San Mateo,40,2243,0,84
2020-06-04,San Mateo,41,2284,0,84
2020-06-05,San Mateo,47,2331,4,88
2020-06-06,San Mateo,11,2342,0,88
2020-06-07,San Mateo,57,2399,0,88
2020-06-08,San Mateo,32,2431,0,88
2020-06-09,San Mateo,32,2463,5,93
2020-06-10,San Mateo,29,2492,0,93
2020-06-11,San Mateo,7,2499,0,93
2020-06-12,San Mateo,34,2533,6,99
2020-06-13,San Mateo,18,2551,0,99
2020-06-14,San Mateo,20,2571,0,99
2020-06-15,San Mateo,20,2591,0,99
2020-06-16,San Mateo,27,2618,0,99
2020-06-17,San Mateo,31,2649,0,99
2020-06-18,San Mateo,25,2674,0,99
2020-06-19,San Mateo,39,2713,4,103
2020-06-20,San Mateo,42,2755,0,103
2020-06-21,San Mateo,26,2781,0,103
2020-06-22,San Mateo,32,2813,0,103
2020-06-23,San Mateo,94,2907,0,103
2020-06-24,San Mateo,57,2964,1,104
2020-06-25,San Mateo,36,3000,0,104
2020-06-26,San Mateo,63,3063,2,106
2020-06-27,San Mateo,33,3096,0,106
2020-06-28,San Mateo,66,3162,0,106
2020-06-29,San Mateo,87,3249,0,106
2020-06-30,San Mateo,57,3306,2,108
2020-07-01,San Mateo,20,3326,0,108
2020-07-02,San Mateo,64,3390,0,108
2020-07-03,San Mateo,49,3439,0,108
2020-07-04,San Mateo,93,3532,0,108
2020-07-05,San Mateo,43,3575,0,108
2020-07-06,San Mateo,75,3650,0,108
2020-07-07,San Mateo,41,3691,3,111
2020-07-08,San Mateo,42,3733,0,111
2020-07-09,San Mateo,59,3792,0,111
2020-07-10,San Mateo,52,3844,1,112
2020-07-11,San Mateo,112,3956,0,112
2020-07-12,San Mateo,32,3988,0,112
2020-07-13,San Mateo,69,4057,0,112
2020-07-14,San Mateo,116,4173,2,114
2020-07-15,San Mateo,85,4258,0,114
2020-07-16,San Mateo,78,4336,0,114
2020-07-17,San Mateo,71,4407,0,114
2020-07-18,San Mateo,81,4488,0,114
2020-07-19,San Mateo,34,4522,0,114
2020-07-20,San Mateo,87,4609,0,114
2020-07-21,San Mateo,124,4733,0,114
2020-07-22,San Mateo,63,4796,0,114
2020-07-23,San Mateo,99,4895,0,114
2020-07-24,San Mateo,59,4954,3,117
2020-07-25,San Mateo,69,5023,0,117
2020-07-26,San Mateo,55,5078,0,117
2020-07-27,San Mateo,30,5108,0,117
2020-07-28,San Mateo,63,5171,1,118
2020-07-29,San Mateo,134,5305,0,118
2020-07-30,San Mateo,64,5369,0,118
2020-07-31,San Mateo,47,5416,1,119
2020-08-01,San Mateo,104,5520,0,119
2020-08-02,San Mateo,98,5618,0,119
2020-08-03,San Mateo,43,5661,0,119
2020-08-04,San Mateo,29,5690,1,120
2020-08-05,San Mateo,5,5695,0,120
2020-08-06,San Mateo,190,5885,0,120
2020-08-07,San Mateo,63,5948,0,120
2020-08-08,San Mateo,73,6021,0,120
2020-08-09,San Mateo,73,6094,0,120
2020-08-10,San Mateo,128,6222,0,120
2020-08-11,San Mateo,117,6339,2,122
2020-08-12,San Mateo,88,6427,0,122
2020-08-13,San Mateo,76,6503,0,122
2020-08-14,San Mateo,152,6655,4,126
2020-08-15,San Mateo,205,6860,0,126
2020-08-16,San Mateo,82,6942,0,126
2020-08-17,San Mateo,45,6987,0,126
2020-08-18,San Mateo,87,7074,1,127
2020-08-19,San Mateo,72,7146,0,127
2020-08-20,San Mateo,42,7188,0,127
2020-08-21,San Mateo,65,7253,1,128
2020-08-22,San Mateo,108,7361,0,128
2020-08-23,San Mateo,89,7450,0,128
2020-08-24,San Mateo,52,7502,0,128
2020-08-25,San Mateo,134,7636,2,130
2020-08-26,San Mateo,19,7655,0,130
2020-08-27,San Mateo,73,7728,0,130
2020-08-28,San Mateo,55,7783,1,131
2020-08-29,San Mateo,145,7928,0,131
2020-08-30,San Mateo,85,8013,0,131
2020-08-31,San Mateo,52,8065,0,131
2020-09-01,San Mateo,67,8132,1,132
2020-09-02,San Mateo,16,8148,0,132
2020-09-03,San Mateo,63,8211,0,132
2020-09-04,San Mateo,64,8275,3,135
2020-09-05,San Mateo,77,8352,0,135
2020-09-06,San Mateo,35,8387,0,135
2020-09-07,San Mateo,22,8409,0,135
2020-09-08,San Mateo,51,8460,1,136
2020-09-09,San Mateo,18,8478,0,136
2020-09-10,San Mateo,51,8529,0,136
2020-09-11,San Mateo,82,8611,3,139
2020-09-12,San Mateo,148,8759,0,139
2020-09-13,San Mateo,52,8811,0,139
2020-09-14,San Mateo,36,8847,0,139
2020-09-15,San Mateo,48,8895,3,142
2020-09-16,San Mateo,49,8944,0,142
2020-09-17,San Mateo,40,8984,0,142
2020-09-18,San Mateo,78,9062,0,142
2020-09-19,San Mateo,96,9158,1,143
2020-09-20,San Mateo,40,9198,0,143
2020-09-21,San Mateo,41,9239,0,143
2020-09-22,San Mateo,52,9291,1,144
2020-09-23,San Mateo,60,9351,0,144
2020-09-24,San Mateo,25,9376,0,144
2020-09-25,San Mateo,71,9447,6,150
2020-09-26,San Mateo,62,9509,0,150
2020-09-27,San Mateo,57,9566,0,150
2020-09-28,San Mateo,16,9582,0,150
2020-09-29,San Mateo,37,9619,0,150
2020-09-30,San Mateo,15,9634,0,150
2020-10-01,San Mateo,47,9681,0,150
2020-10-02,San Mateo,64,9745,2,152
2020-10-03,San Mateo,77,9822,0,152
2020-10-04,San Mateo,36,9858,0,152
2020-10-05,San Mateo,38,9896,0,152
2020-10-06,San Mateo,38,9934,2,154
2020-10-07,San Mateo,46,9980,0,154
2020-10-08,San Mateo,64,10044,0,154
2020-10-09,San Mateo,96,10140,1,155
2020-10-10,San Mateo,78,10218,0,155
2020-10-11,San Mateo,22,10240,0,155
2020-10-12,San Mateo,22,10262,0,155
2020-10-13,San Mateo,24,10286,0,155
2020-10-14,San Mateo,23,10309,0,155
2020-10-15,San Mateo,31,10340,0,155
2020-10-16,San Mateo,65,10405,2,157
2020-10-17,San Mateo,18,10423,0,157
2020-10-18,San Mateo,80,10503,0,157
2020-10-19,San Mateo,65,10568,0,157
2020-10-20,San Mateo,91,10659,0,157
2020-10-21,San Mateo,71,10730,0,157
2020-10-22,San Mateo,66,10796,0,157
2020-10-23,San Mateo,76,10872,2,159
2020-10-24,San Mateo,70,10942,0,159
2020-10-25,San Mateo,45,10987,0,159
2020-10-26,San Mateo,50,11037,0,159
2020-10-27,San Mateo,37,11074,0,159
2020-10-28,San Mateo,27,11101,0,159
2020-10-29,San Mateo,44,11145,0,159
2020-10-30,San Mateo,62,11207,2,161
2020-10-31,San Mateo,46,11253,0,161
2020-11-01,San Mateo,27,11280,0,161
2020-11-02,San Mateo,48,11328,0,161
2020-11-03,San Mateo,78,11406,0,161
2020-11-04,San Mateo,50,11456,0,161
2020-11-05,San Mateo,79,11535,0,161
2020-11-06,San Mateo,52,11587,1,162
2020-11-07,San Mateo,106,11693,0,162
2020-11-08,San Mateo,90,11783,0,162
2020-11-09,San Mateo,74,11857,0,162
2020-11-10,San Mateo,82,11939,3,165
2020-11-11,San Mateo,69,12008,0,165
2020-11-12,San Mateo,78,12086,0,165
2020-11-13,San Mateo,96,12182,3,168
2020-11-14,San Mateo,111,12293,0,168
2020-11-15,San Mateo,55,12348,0,168
2020-11-16,San Mateo,50,12398,0,168
2020-11-17,San Mateo,93,12491,0,168
2020-11-18,San Mateo,140,12631,0,168
2020-11-19,San Mateo,83,12714,0,168
2020-11-20,San Mateo,266,12980,1,169
2020-11-21,San Mateo,158,13138,0,169
2020-11-22,San Mateo,90,13228,0,169
2020-11-23,San Mateo,136,13364,0,169
2020-11-24,San Mateo,194,13558,1,170
2020-11-25,San Mateo,56,13614,0,170
